keyword,genres
"[""boss [employer]"", ""boyfriend"", ""break-up [romantic]"", ""dissatisfaction"", ""girlfriend"", ""lecher"", ""revenge"", ""uncertainty""]","[""Comedy""]"
"[""dinner-party"", ""family-dynamics"", ""food"", ""friendship"", ""lawyer"", ""restaurant""]","[""Comedy""]"
"[""divorce"", ""ex-husband"", ""widow/widower"", ""wife"", ""art-gallery"", ""friendship"", ""husband"", ""independence"", ""lawyer"", ""life"", ""love"", ""store"", ""abandonment"", ""apartment"", ""bonding [relationship]"", ""college"", ""employment"", ""extramarital-affair"", ""freedom"", ""professor"", ""manipulation""]","[""Drama""]"
"[""break-up [romantic]"", ""girlfriend"", ""nerd"", ""betrayal"", ""greeting-card"", ""self-discovery""]","[""Comedy""]"
"[""boyfriend"", ""death"", ""deception"", ""fight"", ""mall"", ""misfit"", ""police-detective"", ""single"", ""social-awareness""]","[""Drama""]"
"[""activism"", ""aquarium"", ""break-up [romantic]"", ""fish [animal]"", ""nurse"", ""personal-ad"", ""working-class""]","[""Comedy"", ""Drama"", ""Romance""]"
"[""cheating"", ""divorce"", ""relationship""]","[""Drama""]"
"[""boyfriend"", ""consumer"", ""love-triangle"", ""sex"", ""celibacy"", ""dating"", ""sexual-identity"", ""swinging-single""]","[""Comedy"", ""Drama""]"
"[""""]","[""Comedy""]"
"[""bachelorette"", ""party-girl"", ""editor"", ""father"", ""heart-attack"", ""magazine"", ""wedding""]","[""Comedy"", ""Romance""]"
"[""afterlife"", ""ancient"", ""department-store"", ""ghost"", ""mannequin"", ""reincarnation"", ""romance"", ""sculpture"", ""supernatural-forces""]","[""Comedy"", ""Fantasy"", ""Romance""]"
"[""""]","[""Drama"", ""Romance""]"
"[""boyfriend"", ""collision"", ""computer-whiz"", ""cruise"", ""disaster"", ""explosion"", ""genius"", ""hostage"", ""leech"", ""police"", ""revenge"", ""romance"", ""shipwreck"", ""sociopath"", ""terminal-illness""]","[""Action""]"
"[""clan"", ""escaped-convict"", ""family"", ""Sicilian"", ""airplane"", ""jewel-robbery"", ""daughter-in-law"", ""hijacker"", ""shipment""]","[""Crime""]"
"[""airplane"", ""hijacker"", ""aerial"", ""airborne"", ""bad-guy"", ""good-guy"", ""killing"", ""one-against-odds"", ""police"", ""retirement"", ""scheme"", ""security-expert"", ""terrorism"", ""trial [courtroom]""]","[""Action""]"
"[""September 11th"", ""terrorist-attack"", ""coup-military"", ""hijacker"", ""national-tragedy"", ""suicide-mission"", ""village"", ""widow/widower"", ""foreign-policy"", ""Iran"", ""US-government""]","[""Avant-garde"", ""/"", ""Experimental"", ""Drama""]"
"[""hijacker"", ""Iranian  [nationality]""]","[""Comedy"", ""Drama""]"
"[""federal-agent"", ""nuclear-weapon"", ""public-relations"", ""Senator"", ""train [locomotive]""]","[""Action""]"
"[""crocodile"", ""man-eater"", ""plane-crash"", ""flight-attendant"", ""airplane"", ""heist"", ""rescue"", ""swamp"", ""loot""]","[""Action"", ""Adventure""]"
"[""love-triangle"", ""marital-problems"", ""secretary"", ""sexual-attraction"", ""sexual-orientation"", ""sexual-revolution"", ""single"", ""apartment""]","[""Comedy"", ""Drama""]"
"[""Britain"", ""heir"", ""inheritance"", ""orphan"", ""love""]","[""Drama""]"
"[""bachelor"", ""committed-relationship"", ""extramarital-affair"", ""husband-and-wife"", ""marital-problems"", ""marriage"", ""philandering"", ""promiscuity""]","[""Comedy"", ""Drama""]"
"[""bachelor"", ""hedonism"", ""life-choices"", ""promiscuity"", ""sexuality"", ""ego"", ""life-changes"", ""amorality"", ""courage"", ""morals"", ""sports"", ""coming-of-age"", ""fanatic"", ""tennis-player"", ""man"", ""party""]","[""Comedy"", ""Drama""]"
"[""amorality"", ""hairdresser"", ""beautician"", ""business"", ""ex-girlfriend"", ""love-triangle"", ""mistress"", ""party"", ""seduction"", ""betrayal"", ""extramarital-affair"", ""loan"", ""Hollywood"", ""orgy""]","[""Comedy"", ""Drama""]"
"[""city"", ""love"", ""romance"", ""search"", ""woman""]","[""Comedy"", ""Romance""]"
"[""dating"", ""committed-relationship"", ""extramarital-affair"", ""marital-problems"", ""marriage"", ""relationship""]","[""Comedy""]"
"[""bachelor"", ""compulsion"", ""womanizer"", ""self-discovery"", ""doctor"", ""love"", ""unrequited"", ""writer""]","[""Comedy"", ""Drama""]"
"[""Black [race]"", ""woman"", ""bachelorette"", ""boyfriend"", ""love-quadrangle"", ""modeling""]","[""Comedy"", ""Romance""]"
"[""forbidden-love"", ""seduction"", ""sister-in-law"", ""family"", ""house"", ""lady"", ""banquet"", ""etiquette""]","[""Comedy""]"
"[""love"", ""college-student"", ""doctor"", ""nobility"", ""performer"", ""reporter"", ""secretary"", ""art-appreciation""]","[""Comedy"", ""Musical"", ""Romance""]"
"[""in-law"", ""family"", ""house"", ""pursuit"", ""seduction""]","[""Comedy""]"
"[""seduction"", ""sister-in-law"", ""English [nationality]"", ""veterinarian"", ""weekend"", ""family"", ""gardener""]","[""Comedy""]"
"[""penis"", ""transplant"", ""scholar"", ""seduction"", ""sex"", ""musical-beds"", ""doctor/nurse"", ""spouse""]","[""Comedy""]"
"[""forbidden-love"", ""social-climber"", ""unrequited""]","[""Drama""]"
"[""airplane"", ""bomb"", ""defuse"", ""aerial"", ""commando"", ""hijacker"", ""nerve-gas"", ""race-against-time"", ""rescue"", ""terrorism""]","[""Action""]"
"[""con/scam"", ""heist"", ""hijacker"", ""on-the-run"", ""small-time"", ""thief"", ""train [locomotive]"", ""train-robbery""]","[""Action"", ""Crime""]"
"[""hostage"", ""subway"", ""criminal"", ""dispatcher"", ""ransom"", ""race-against-time"", ""tension"", ""terrorism"", ""thug"", ""ultimatum"", ""mayor""]","[""Thriller""]"
"[""trail [path]"", ""cattle-drive"", ""obstacle"", ""smuggling"", ""weapons"", ""blizzard"", ""carpetbagger"", ""herd [group]"", ""mission [quest]"", ""Native-American"", ""prairie"", ""racism"", ""Texan"", ""driver"", ""Mexico"", ""south"", ""war""]","[""Western""]"
"[""corruption"", ""Native-American"", ""pioneer"", ""railroad"", ""renegade"", ""settler"", ""wagon-train"", ""westward-expansion""]","[""Western""]"
"[""music"", ""bad-guy"", ""fame"", ""friendship"", ""good-guy"", ""infamy"", ""killing"", ""manhunt"", ""outlaw [Western]"", ""partner"", ""performer"", ""sheriff"", ""tracking [following]""]","[""Western""]"
"[""drifter"", ""judge"", ""court-system"", ""deception"", ""love"", ""murder"", ""obsession"", ""actor"", ""daughter"", ""father"", ""justice"", ""land-war"", ""horse-thief"", ""land-scheme"", ""settler""]","[""Western""]"
"[""ranch"", ""captor"", ""criminal"", ""outlaw [Western]"", ""conflict"", ""lawyer"", ""rackets [corruption]"", ""bar [pub]""]","[""Western""]"
"[""Native-American"", ""attack"", ""border [geographic]"", ""cavalry"", ""father"", ""generation-gap"", ""last-stand"", ""officer"", ""relationship"", ""soldier"", ""son"", ""wife""]","[""Western""]"
"[""assumed-identity"", ""outlaw [Western]"", ""rustler"", ""tracking [following]"", ""cattle"", ""cowboy"", ""impersonation"", ""performer"", ""presumed-dead"", ""disguise"", ""gangster"", ""name-clearing"", ""suspicion"", ""revenge"", ""songwriter""]","[""Western""]"
"[""mail"", ""Pony-Express"", ""stagecoach"", ""telegram"", ""bank-personnel"", ""carrier"", ""conspiracy"", ""cowboy"", ""scheme"", ""transition"", ""disguise"", ""Native-American"", ""outlaw [Western]"", ""songwriter""]","[""Western""]"
"[""adversity"", ""bishop"", ""faith"", ""minister"", ""preaching"", ""proving-oneself"", ""revenge"", ""sentimental"", ""showdown"", ""spirituality"", ""stubbornness""]","[""Western""]"
"[""railroad"", ""construction"", ""transcontinental"", ""attack"", ""cross-country"", ""deception"", ""land"", ""Native-American"", ""passage"", ""scheme"", ""villain"", ""love"", ""worker""]","[""Western""]"
"[""father"", ""hospital"", ""son""]","[""Drama""]"
"[""mistaken-identity"", ""switched-at-birth"", ""duke"", ""heir"", ""killing"", ""lawyer"", ""Pakistani [nationality]"", ""restaurant""]","[""Comedy""]"
"[""bag-lady"", ""brother"", ""family"", ""gangster"", ""inheritance"", ""journalism"", ""killing"", ""mechanic"", ""twins""]","[""Drama""]"
"[""danger"", ""brother"", ""con/scam"", ""credit"", ""ecology"", ""embezzlement"", ""exploitation"", ""fortune [wealth]"", ""heir"", ""inheritance"", ""migrant-worker"", ""revenge"", ""twins""]","[""Comedy"", ""Drama""]"
"[""switched-at-birth"", ""custody-battle"", ""childbirth"", ""toddlers"", ""family""]","[""Drama""]"
"[""aristocracy"", ""commoner"", ""against-all-odds"", ""bishop"", ""boy"", ""childbirth"", ""China"", ""danger"", ""daughter"", ""destruction"", ""emperor"", ""family"", ""friendship"", ""heir"", ""home"", ""honor [recognition]"", ""injustice"", ""massacre"", ""Prime-Minister"", ""problems"", ""purge"", ""revenge"", ""revolution"", ""ruthlessness"", ""sister"", ""son"", ""survivor"", ""switched-at-birth"", ""throne"", ""toddlers"", ""truth"", ""uprising"", ""war""]","[""""]"
"[""identity-switch"", ""pianist"", ""race-car driver"", ""separated-at-birth"", ""twins"", ""gangster""]","[""Action"", ""Comedy""]"
"[""big-city"", ""blue-collar"", ""business"", ""CEO (Chief Executive Officer)"", ""country-girl"", ""separated-at-birth"", ""switched-at-birth"", ""twins""]","[""Comedy""]"
"[""ESP (Extra Sensory Perception)"", ""Hinduism"", ""Muslim"", ""switched-at-birth""]","[""Drama""]"
"[""switched-at-birth"", ""bourgeois"", ""doctor"", ""ex-lover"", ""family"", ""mistress""]","[""Comedy"", ""Drama""]"
"[""switched-at-birth"", ""girl"", ""mistaken-identity"", ""child"", ""custody-battle"", ""death-in-family""]","[""Drama""]"
"[""bounty-hunter"", ""criminal"", ""treasure""]","[""Western""]"
"[""bombing"", ""Israeli  [nationality]"", ""Palestinian  [nationality]"", ""switched-at-birth""]","[""Drama""]"
"[""confusion"", ""disguise"", ""family"", ""friendship"", ""mistaken-identity"", ""peasant"", ""poverty"", ""revolution"", ""separated-at-birth"", ""sibling"", ""twins"", ""wealth""]","[""Comedy""]"
"[""autism"", ""genetics"", ""grandfather"", ""investigator"", ""killing"", ""murder"", ""switched-at-birth""]","[""Thriller""]"
"[""mix-up"", ""fairytale"", ""mistaken-identity"", ""switched-at-birth"", ""father"", ""fisherman"", ""king"", ""magic"", ""prince"", ""sea-monster"", ""son""]","[""Children's/Family"", ""Fantasy""]"
"[""""]","[""Drama""]"
"[""dictator"", ""Jewish"", ""KGB"", ""loyalty"", ""orphan"", ""projectionist"", ""Russia"", ""Soviet"", ""totalitarianism""]","[""Drama""]"
"[""agent [representative]"", ""Communism"", ""espionage"", ""FBI (Federal Bureau of Investigation)"", ""microfilm"", ""pickpocket"", ""robbery"", ""secret-plan"", ""top-secret"", ""tracking [following]""]","[""Spy"", ""Film"", ""Thriller""]"
"[""agent [representative]"", ""America"", ""Britain"", ""escape"", ""espionage"", ""international"", ""manhunt"", ""missing-person"", ""organization"", ""Russia"", ""sadist"", ""scientist"", ""search"", ""secret-plan"", ""secrets""]","[""Action"", ""Spy"", ""Film""]"
"[""agent [representative]"", ""assassination"", ""CIA (Central-Intelligence-Agency)"", ""Cold-War"", ""espionage"", ""hitman"", ""KGB"", ""mission [quest]"", ""mistress"", ""retirement"", ""scheme""]","[""Action"", ""Spy"", ""Film"", ""Thriller""]"
"[""dysfunctional"", ""love-child"", ""Communism"", ""handcuffs"", ""mother"", ""stepfather"", ""police-officer"", ""politician"", ""roots [origins]""]","[""Comedy""]"
"[""aerial"", ""barnstorming"", ""behind-enemy-lines"", ""chase"", ""Cold-War"", ""espionage"", ""experiment"", ""KGB"", ""one-against-odds"", ""war""]","[""Action""]"
"[""political-exile"", ""political-prisoner"", ""competition"", ""Iron-Curtain"", ""Russia"", ""Soviet"", ""Siberia"", ""parachute"", ""Soviet-Union"", ""Communist-party""]","[""Drama""]"
