"[""boss [employer]"", ""boyfriend"", ""break-up [romantic]"", ""dissatisfaction"", ""girlfriend"", ""lecher"", ""revenge"", ""uncertainty""]","[""Comedy""]","[""Looking For Love"", ""Single Life"", ""Twentysomething Life""]"
"[""dinner-party"", ""family-dynamics"", ""food"", ""friendship"", ""lawyer"", ""restaurant""]","[""Comedy""]","[""Women's Friendship"", ""Eccentric Families"", ""Single Life"", ""Single Parents"", ""Unrequited Love""]"
"[""divorce"", ""ex-husband"", ""widow/widower"", ""wife"", ""art-gallery"", ""friendship"", ""husband"", ""independence"", ""lawyer"", ""life"", ""love"", ""store"", ""abandonment"", ""apartment"", ""bonding [relationship]"", ""college"", ""employment"", ""extramarital-affair"", ""freedom"", ""professor"", ""manipulation""]","[""Drama""]","[""Breakups and Divorces"", ""Looking For Love"", ""Single Life"", ""Starting Over"", ""Twentysomething Life"", ""Women's Friendship""]"
"[""break-up [romantic]"", ""girlfriend"", ""nerd"", ""betrayal"", ""greeting-card"", ""self-discovery""]","[""Comedy""]","[""Single Life"", ""Starting Over"", ""Nothing Goes Right"", ""Breakups and Divorces""]"
"[""boyfriend"", ""death"", ""deception"", ""fight"", ""mall"", ""misfit"", ""police-detective"", ""single"", ""social-awareness""]","[""Drama""]","[""Single Life"", ""Misfits and Outsiders"", ""Murder Investigations""]"
"[""activism"", ""aquarium"", ""break-up [romantic]"", ""fish [animal]"", ""nurse"", ""personal-ad"", ""working-class""]","[""Comedy"", ""Drama"", ""Romance""]","[""Mothers and Daughters"", ""Looking For Love"", ""Single Life"", ""Cons and Scams"", ""Women's Friendship""]"
"[""cheating"", ""divorce"", ""relationship""]","[""Drama""]","[""Breakups and Divorces"", ""Single Life"", ""Starting Over""]"
"[""boyfriend"", ""consumer"", ""love-triangle"", ""sex"", ""celibacy"", ""dating"", ""sexual-identity"", ""swinging-single""]","[""Comedy"", ""Drama""]","[""Love Triangles"", ""Playing the Field"", ""Single Life"", ""Twentysomething Life""]"
"[""""]","[""Comedy""]","[""Playing the Field"", ""Single Life""]"
"[""bachelorette"", ""party-girl"", ""editor"", ""father"", ""heart-attack"", ""magazine"", ""wedding""]","[""Comedy"", ""Romance""]","[""Fathers and Daughters"", ""Single Life"", ""Writer's Life""]"
"[""afterlife"", ""ancient"", ""department-store"", ""ghost"", ""mannequin"", ""reincarnation"", ""romance"", ""sculpture"", ""supernatural-forces""]","[""Comedy"", ""Fantasy"", ""Romance""]","[""Down on Their Luck"", ""Lovers on the Lam"", ""Reincarnation""]"
"[""""]","[""Drama"", ""Romance""]","[""All Washed Up"", ""Single Life"", ""Twentysomething Life"", ""Unlikely Friendships""]"
"[""boyfriend"", ""collision"", ""computer-whiz"", ""cruise"", ""disaster"", ""explosion"", ""genius"", ""hostage"", ""leech"", ""police"", ""revenge"", ""romance"", ""shipwreck"", ""sociopath"", ""terminal-illness""]","[""Action""]","[""Hijackings"", ""Woman In Jeopardy"", ""Race Against Time"", ""Ship Cruises"", ""Nightmare Vacations""]"
"[""clan"", ""escaped-convict"", ""family"", ""Sicilian"", ""airplane"", ""jewel-robbery"", ""daughter-in-law"", ""hijacker"", ""shipment""]","[""Crime""]","[""Hijackings"", ""Jewel Theft"", ""Crime Gone Awry"", ""Dishonor Among Thieves""]"
