"['promiscuous playgirl Dong-mi', 'New York Korean', 'patronizing boss', 'Foul King', 'lecherous boss', 'local Chili', 'Eom Jeong-hwa', 'endless procession', 'oafish boss', 'lunkheaded boyfriends', 'drastic action', 'younger woman', 'Crazy Thing', 'excellent work', 'restaurant division', 'drunken night', 'special request', 'Kim Ju-hyuk', 'United States', 'Kwon Chil-in', 'Film Festival']","""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,
"['Suzanne Mara', 'people laugh', 'eccentric friends', 'dinner party', 'Hortense']","""Women's Friendship"""," ""Eccentric Families"""," ""Single Life"""," ""Single Parents"""," ""Unrequited Love""",,,
"['Trish VanDevere', 'best friend Madge', 'Best Actress nomination', 'Golden Globe Awards', 'Amy Brower', 'Melvyn Douglas', 'Jane Elliot', 'Janet Leigh', 'college professor', 'Monte Markham', '27-year-old woman', 'Joseph Provo', 'elderly man', 'Howard Carpenter', 'support group', 'art gallery']","""Breakups and Divorces"""," ""Looking For Love"""," ""Single Life"""," ""Starting Over"""," ""Twentysomething Life"""," ""Women's Friendship""",,
"['lonely guy', 'fellow Lonely Guy', 'best-selling Lonely Guy', 'Larry Hubbard', 'cardboard cut-outs']","""Single Life"""," ""Starting Over"""," ""Nothing Goes Right"""," ""Breakups and Divorces""",,,,
"['director Siegrid Alnoy', 'Walter Reade Theater', 'Thessaloniki Film Festival', 'Elle Est des', 'Stockholm Film Festival', 'Christine Blanc', 'Sasha Andres', 'awkward moments', 'misty outskirts', 'single woman', 'co-workers', 'surprising turn', 'employment agency', 'Fran\xc3\xa7ois Favrat', 'Catherine Mouchet', 'Carlo Brandt', 'Special Mention', 'Eric Caravaca', 'Film Society', 'permanent position', 'FIPRESCI Prize', 'New York', 'feature debut', 'Lincoln Center', 'French Cinema', 'J\xc3\xa9r\xc3\xb4me Beaujour', 'Single Girl', 'boyfriend', 'people', 'Patricia']","""Single Life"""," ""Misfits and Outsiders"""," ""Murder Investigations""",,,,,
"['wildly inaccurate personals', 'Sundance Film Festival', 'independent romantic comedy', 'Philip Seymour Hoffman', 'handsome Brazilian music', 'local mob boss', 'director Brad Anderson', 'Erin Castleton', 'night-shift nurse', 'Miramax Pictures', 'bidding war', 'boyfriend Sean', 'Jose Zuniga', 'Sao Paulo', 'Alan Monteiro', 'real-life aunt', 'political activist', 'mother Piper', 'Hope Davis', 'local paper', 'Holland Taylor', 'star blowfish', 'Alan Gelfant', 'Mr. Right', 'class existence', 'Happy Accidents', 'local aquarium', 'Actress Taylor', 'marine biology', 'Andre']","""Mothers and Daughters"""," ""Looking For Love"""," ""Single Life"""," ""Cons and Scams"""," ""Women's Friendship""",,,
"['new relationship', 'San Francisco Black', 'Marilyn Ross', 'romantic comedy-drama', 'solid push', 'Mimi Ayers', 'bad breakup', 'two-timing boyfriend', 'messy divorce', 'Christian Payton', 'elderly mother', 'Marie-Fran\xc3\xa7oise Theodore', 'good idea', 'Film Festival']","""Breakups and Divorces"""," ""Single Life"""," ""Starting Over""",,,,,
"['filmmaker Jane Weinstock', 'romantic comedy Easy', 'single gal living', ""Brian F. O'Byrne"", 'Toronto Film Festival', 'Marguerite Moreau', 'Emily Deschanel', 'feature debut', 'handsome fellows', 'stoner friend', 'Naveen Andrews', 'digital video', 'D.B. Woodside', 'married sister', 'Los Angeles', 'creative names']","""Love Triangles"""," ""Playing the Field"""," ""Single Life"""," ""Twentysomething Life""",,,,
"['highest-rated midseason sitcom', 'local cooking school', 'Suzanne Somers', 'Chrissy Snow', 'prime-time programming', 'Audra Lindley', 'Helen Roper', 'Mr. Roper', 'Terri Alden', 'Joyce DeWitt', 'unmarried women', 'townhouse community', 'conservative landlords', 'Janet Wood', 'landlord duties', 'new roommate', 'Norman Fell', 'substantially less ditzy', 'Priscilla Barnes', 'sexual advance', 'Cindy Snow', 'Jennilee Harrison', 'veterinary school', 'dollars', 'Jack', 'cast', 'producers', 'character']","""Playing the Field"""," ""Single Life""",,,,,,
"['writer Pippa McGee', 'freewheeling travel writer', 'publishing magnate father', 'successful bridal magazine', 'Taye Diggs', 'marriage-minded comedy', 'Heather Graham', 'David Sutcliffe', 'Sandra Oh', 'nine-to-five lifestyle', 'constant reminders', 'heart attack', 'close friend', 'publishing mentor', 'popular magazines', 'Wedding Bells']","""Fathers and Daughters"""," ""Single Life"""," ""Writer's Life""",,,,,
"['fantasy-tinged romantic comedies', 'department store', 'department store window-dresser', 'rival department store', 'Mannequin', 'lame attempt', 'Kim Cattrall', 'Andrew McCarthy', 'illogical script', 'ancient Egypt', 'miniscule budget', 'surprise box-office', 'expressive window-dresser', 'inferior sequel', 'good guys', 'store-crossed lovers', 'small feat', 'real mystery', 'Grand Canyon', 'Best Song']","""Down on Their Luck"""," ""Lovers on the Lam"""," ""Reincarnation""",,,,,
"['New York City', 'low-key romantic drama', 'depressed Christmas-tree salesman', 'Kentucker Audley', 'night shift', 'eccentric customers', 'small trailer', 'mysterious woman', 'Charles Poekel', 'Christmas trees']","""All Washed Up"""," ""Single Life"""," ""Twentysomething Life"""," ""Unlikely Friendships""",,,,
"['Sandra Bullock returns', 'disgruntled John Geiger', 'dashing police officer', 'cruise ship vacation', 'Caribbean port town', 'boyfriend Alex', 'action sequel', 'Keanu Reeves', 'Annie Porter', 'Willem Dafoe', 'Jason Patric', 'violent takeover', 'male lead', 'mortal danger', 'low-budget drama', 'accident-prone ditz', 'Hope Floats', 'ship crashes', 'peace offering', 'happy couple', 'financial backing', 'healthy profit', 'pet project']","""Hijackings"""," ""Woman In Jeopardy"""," ""Race Against Time"""," ""Ship Cruises"""," ""Nightmare Vacations""",,,
"['dogged inspector Le', 'friend Tony Nicosia', 'Alain Delon', 'murderer sprung', 'Vittorio Manalese', 'Sicilian clan', 'Lino Ventura', 'Amedeo Nazzarri', 'Jean Gabin', 'large cache', 'Roger Santet', 'transport plane', 'better way', 'New York', 'available resources']","""Hijackings"""," ""Jewel Theft"""," ""Crime Gone Awry"""," ""Dishonor Among Thieves""",,,,
"['terrorist Charles Rane', 'expert John Cutter', 'fast-paced action picture', 'Director Kevin Hooks', 'actor Robert Hooks', 'dapper Rane', 'agent Dwight Henderson', 'martial arts skills', 'precious fuel reserves', 'armed robber', 'dangerous job', 'Wesley Snipes', 'Die Hard', 'FBI agents', 'Elizlabeth Hurley', 'dangerous plan', 'Bruce Payne', 'old friend', 'Alex Datcher', 'airport manager', 'special training']","""Daring Rescues"""," ""Rogue Cops"""," ""Hijackings"""," ""Terrorism""",,,,
"['French film company', 'director Youssef Chahine', 'director Claude Lelouch', 'filmmaker Ken Loach', 'Hollywood actor-director Sean', 'World Trade Center', 'Alejandro Gonz\xc3\xa1lez I\xc3\xb1\xc3\xa1rritu', 'terrorist attacks', 'Samira Makhmalbaf', 'omnibus film', 'Burkina Faso', 'Studio Canal', 'brutal coup', 'Danis Tanovic', 'various regions', 'deaf girlfriend', 'lonely existence', 'theatrical release', 'suicide bomber', 'small-scale stories', 'different approach', 'tour guide', 'tiny villages', 'old man', 'Twin Towers', 'Idrissa Ouedraogo', 'United States', 'tragedies', 'breakup', 'guideline']","""Hijackings"""," ""Innocence Lost"""," ""Terrorism""",,,,,
"['Low Altitude', 'economically poor state', 'Fajr Film Festival', 'Mohammad Ali Inanloo', 'Ebrahim Hatamikia', 'Tense scenes', 'desperate action', 'Hamid Farrokhnezhad', 'Leila Hatami']","""Hijackings""",,,,,,,
"['agent Eddie Lyman', 'ruthless American militia', 'public relations chief', 'homemade nuclear bomb', 'runaway train']","""Hijackings"""," ""Race Against Time"""," ""Terrorism""",,,,,
"['latest bloody heist', 'black-garbed bank robbers', 'renegade professional tracker', 'downed plane', 'commercial airliner', 'tremendous storm', 'fiery pieces', 'bad weather', 'Noelle Lenhardt', 'bad guys', 'prehistoric-sized crocodile']","""Daring Rescues"""," ""Hijackings"""," ""Woman In Jeopardy""",,,,,
"['Mrs. Madrigal', 'enigmatic Mrs. Madrigal', 'Author Armistead Maupin', 'sprawling comic melodrama', 'roommate Michael Tolliver', 'quaint multi-apartment house', 'San Francisco', 'na\xc3\xafve young woman', 'unlucky-in-love Mona Ramsey', 'dozen main characters', 'Mary Ann Singleton', 'much-acclaimed miniseries', 'serialized tale', 'Olympia Dukakis', 'sexual infidelity', ""Marcus D'Amico"", 'boss Beauchamp', 'boss Edgar', 'short-term boyfriends', 'Barbary Lane', 'Chloe Webb', 'Laura Linney', 'regal Edgar', 'Parker Posey', 'endless series', 'constant companion', 'Barbara Garrick', 'PBS premiere', 'Donald Moffat', 'friend Connie']","""Bohemian Life"""," ""Love Triangles"""," ""Looking For Love"""," ""Playing the Field"""," ""Sexual Awakening"""," ""Twentysomething Life""",,
"['long-suffering Edward Richardson', 'impulsive Lydia', 'Masterpiece Theatre anthology', 'London Weekend Television', 'giddy heiress', 'British miniseries', 'eligible bachelors', 'H.E. Bates', 'Mel Martin', 'hour-long episodes', 'title role', 'Christopher Blake', 'true love']","""Love Triangles"""," ""Orphans"""," ""Playing the Field"""," ""Social Climbing""",,,,
"['Yvan Attal', 'actor Yvan Attal', 'biting romantic comedy', 'Est une Actrice', 'Alain Cohen', 'Alain Chabat', 'Georges deals']","""Infidelity"""," ""Foibles of Marriage"""," ""Looking For Love"""," ""Playing the Field""",,,,
"['Michael Caine', 'Alfie', 'dramatic irony', 'promiscuous female', 'rogueish Cockney', 'common-law wife', 'Vivien Merchant', 'lasting meaning', 'Julia Foster', 'married woman', 'Don Juan']","""Playing the Field""",,,,,,,
