"[""boss [employer]"", ""boyfriend"", ""break-up [romantic]"", ""dissatisfaction"", ""girlfriend"", ""lecher"", ""revenge"", ""uncertainty""]","""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,,,,,,
"[""dinner-party"", ""family-dynamics"", ""food"", ""friendship"", ""lawyer"", ""restaurant""]","""Women's Friendship"""," ""Eccentric Families"""," ""Single Life"""," ""Single Parents"""," ""Unrequited Love""",,,,,,,,,
"[""divorce"", ""ex-husband"", ""widow/widower"", ""wife"", ""art-gallery"", ""friendship"", ""husband"", ""independence"", ""lawyer"", ""life"", ""love"", ""store"", ""abandonment"", ""apartment"", ""bonding [relationship]"", ""college"", ""employment"", ""extramarital-affair"", ""freedom"", ""professor"", ""manipulation""]","""Breakups and Divorces"""," ""Looking For Love"""," ""Single Life"""," ""Starting Over"""," ""Twentysomething Life"""," ""Women's Friendship""",,,,,,,,
"[""break-up [romantic]"", ""girlfriend"", ""nerd"", ""betrayal"", ""greeting-card"", ""self-discovery""]","""Single Life"""," ""Starting Over"""," ""Nothing Goes Right"""," ""Breakups and Divorces""",,,,,,,,,,
"[""boyfriend"", ""death"", ""deception"", ""fight"", ""mall"", ""misfit"", ""police-detective"", ""single"", ""social-awareness""]","""Single Life"""," ""Misfits and Outsiders"""," ""Murder Investigations""",,,,,,,,,,,
"[""activism"", ""aquarium"", ""break-up [romantic]"", ""fish [animal]"", ""nurse"", ""personal-ad"", ""working-class""]","""Mothers and Daughters"""," ""Looking For Love"""," ""Single Life"""," ""Cons and Scams"""," ""Women's Friendship""",,,,,,,,,
"[""cheating"", ""divorce"", ""relationship""]","""Breakups and Divorces"""," ""Single Life"""," ""Starting Over""",,,,,,,,,,,
"[""boyfriend"", ""consumer"", ""love-triangle"", ""sex"", ""celibacy"", ""dating"", ""sexual-identity"", ""swinging-single""]","""Love Triangles"""," ""Playing the Field"""," ""Single Life"""," ""Twentysomething Life""",,,,,,,,,,
"[""""]","""Playing the Field"""," ""Single Life""",,,,,,,,,,,,
"[""bachelorette"", ""party-girl"", ""editor"", ""father"", ""heart-attack"", ""magazine"", ""wedding""]","""Fathers and Daughters"""," ""Single Life"""," ""Writer's Life""",,,,,,,,,,,
"[""afterlife"", ""ancient"", ""department-store"", ""ghost"", ""mannequin"", ""reincarnation"", ""romance"", ""sculpture"", ""supernatural-forces""]","""Down on Their Luck"""," ""Lovers on the Lam"""," ""Reincarnation""",,,,,,,,,,,
"[""""]","""All Washed Up"""," ""Single Life"""," ""Twentysomething Life"""," ""Unlikely Friendships""",,,,,,,,,,
"[""boyfriend"", ""collision"", ""computer-whiz"", ""cruise"", ""disaster"", ""explosion"", ""genius"", ""hostage"", ""leech"", ""police"", ""revenge"", ""romance"", ""shipwreck"", ""sociopath"", ""terminal-illness""]","""Hijackings"""," ""Woman In Jeopardy"""," ""Race Against Time"""," ""Ship Cruises"""," ""Nightmare Vacations""",,,,,,,,,
"[""clan"", ""escaped-convict"", ""family"", ""Sicilian"", ""airplane"", ""jewel-robbery"", ""daughter-in-law"", ""hijacker"", ""shipment""]","""Hijackings"""," ""Jewel Theft"""," ""Crime Gone Awry"""," ""Dishonor Among Thieves""",,,,,,,,,,
"[""airplane"", ""hijacker"", ""aerial"", ""airborne"", ""bad-guy"", ""good-guy"", ""killing"", ""one-against-odds"", ""police"", ""retirement"", ""scheme"", ""security-expert"", ""terrorism"", ""trial [courtroom]""]","""Daring Rescues"""," ""Rogue Cops"""," ""Hijackings"""," ""Terrorism""",,,,,,,,,,
"[""September 11th"", ""terrorist-attack"", ""coup-military"", ""hijacker"", ""national-tragedy"", ""suicide-mission"", ""village"", ""widow/widower"", ""foreign-policy"", ""Iran"", ""US-government""]","""Hijackings"""," ""Innocence Lost"""," ""Terrorism""",,,,,,,,,,,
"[""hijacker"", ""Iranian  [nationality]""]","""Hijackings""",,,,,,,,,,,,,
"[""federal-agent"", ""nuclear-weapon"", ""public-relations"", ""Senator"", ""train [locomotive]""]","""Hijackings"""," ""Race Against Time"""," ""Terrorism""",,,,,,,,,,,
"[""crocodile"", ""man-eater"", ""plane-crash"", ""flight-attendant"", ""airplane"", ""heist"", ""rescue"", ""swamp"", ""loot""]","""Daring Rescues"""," ""Hijackings"""," ""Woman In Jeopardy""",,,,,,,,,,,
"[""love-triangle"", ""marital-problems"", ""secretary"", ""sexual-attraction"", ""sexual-orientation"", ""sexual-revolution"", ""single"", ""apartment""]","""Bohemian Life"""," ""Love Triangles"""," ""Looking For Love"""," ""Playing the Field"""," ""Sexual Awakening"""," ""Twentysomething Life""",,,,,,,,
